source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-canadian-trucker-convoy-single-most-successful-human-rights-protest
https://www.mediamatters.org/	https://www.mediamatters.org/justice-civil-liberties/major-tv-news-outlets-are-leaving-it-fox-cover-national-assault-trans-youth
https://www.mediamatters.org/	https://www.mediamatters.org/health-care/conservative-media-spread-false-claims-and-fearmonger-about-medicated-abortion-after
https://www.mediamatters.org/	https://www.mediamatters.org/sinclair-broadcast-group/year-misinformation-sinclairs-morning-show-national-desk
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-laura-ingrahams-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/jeanine-pirro/these-are-jeanine-pirros-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/#search
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-claimed-bidens-policies-are-responsible-surging-gas-prices-102-times-3-days
https://www.mediamatters.org/	https://www.mediamatters.org/#youtube
https://www.mediamatters.org/	https://www.mediamatters.org/joe-rogan-experience/joe-rogan-wrapped-year-covid-19-misinformation-right-wing-myths-and-anti-trans
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/facebooks-top-political-posts
https://www.mediamatters.org/	https://www.mediamatters.org/washington-post/potential-criminal-investigation-trump-front-page-news-unless-outlets-decide-give
https://www.mediamatters.org/	https://use.typekit.net/jqh3ujo.css
https://www.mediamatters.org/	https://www.mediamatters.org/joe-rogan-experience/spotify-claims-its-newly-released-platform-rules-do-not-apply-hate-and
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/fox-news-wanted-viewers-hear-anti-vax-troopers-story-until-he-died-covid
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/facebook-ads-tucker-carlsons-hungary-vs-soros-documentary-have-been-viewed-millions-times
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/jeanine-pirro-calls-biden-be-removed-office-through-25th-amendment
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_vUt0GK4OfEXUi5i0VJuEV9nf8bDJwmJWZVb1Ca5G1yM.css
https://www.mediamatters.org/	https://fonts.googleapis.com/css?family=Barlow:400,400i,600,600i,700,700i
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://www.mediamatters.org/corrections
https://www.mediamatters.org/	https://www.mediamatters.org/audio-video
https://www.mediamatters.org/	https://www.mediamatters.org/joe-rogan-experience/democracy-now-alex-paterson-explains-spotifys-covid-19-misinformation-problem
https://www.mediamatters.org/	https://www.mediamatters.org/archives
https://www.mediamatters.org/	https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/	https://www.mediamatters.org/lgbtq
https://www.mediamatters.org/	https://www.mediamatters.org/#facebook
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/fox-news-goes-all-promoting-anti-vaccine-mandate-canadian-truckers
https://www.mediamatters.org/	https://www.mediamatters.org/
https://www.mediamatters.org/	https://www.mediamatters.org/search
https://www.mediamatters.org/	https://www.mediamatters.org/#instagram
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/murdochs-want-tucker-carlsons-blood-soaked-conspiracy-theories
https://www.mediamatters.org/	https://www.mediamatters.org/#main-content
https://www.mediamatters.org/	https://www.mediamatters.org/one-america-news-network/oan-pitches-new-carriers-one-its-top-personalities-pushes-conspiracy
https://www.mediamatters.org/	https://www.mediamatters.org/take-action
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/timeline-decimation-foxs-news-side
https://www.mediamatters.org/	https://www.mediamatters.org/homepage
https://www.mediamatters.org/	https://www.mediamatters.org/fox-friends/fox-host-criticizes-those-pointing-out-potential-link-between-deadly-kentucky-tornado
https://www.mediamatters.org/	https://www.mediamatters.org/january-6-insurrection/facebooks-failures-election-misinformation-contributed-deadly-capitol
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlsons-descent-white-supremacy-timeline
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/usa-swimming-capitulates-right-wing-media-hate-campaign-and-throws-trans-swimmer-lia
https://www.mediamatters.org/	https://www.mediamatters.org/jesse-watters/fox-news-names-misinformation-machine-jesse-watters-permanent-host-7-pm-hour
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/cable-news-fails-cover-gun-violence-public-health-crisis-it
https://www.mediamatters.org/	https://www.mediamatters.org/nratv/nratv-now-finished-here-are-bigotry-lies-and-hatred-nra-tolerated-years
https://www.mediamatters.org/	https://action.mediamatters.org/secure/donate
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-trapped-examining-its-bizarre-recent-coverage-trumps-coup-attempt
https://www.mediamatters.org/	https://www.mediamatters.org/washington-post/washington-post-needs-stop-lionizing-anti-abortion-activists
https://www.mediamatters.org/	https://www.mediamatters.org/submissions
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-applies-old-climate-denial-tactics-new-potential-climate-impact-severe-and
https://www.mediamatters.org/	https://www.mediamatters.org/about
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-latest-vaccine-lie-covid-vaccine-makes-you-more-likely-contract-covid-0
https://www.mediamatters.org/	https://www.mediamatters.org/#narrative
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/archive
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/california
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/energy-and-environment
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/magazine/2022/02/10/trump-flushed-record-system-disregard-history-00008055
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/the-recast
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/favicon-32x32.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/matt-wuerker
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/fourth-estate
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/careers
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/privacy
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/sustainability
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-180x180.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/magazine
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-60x60.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/do-not-sell
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/minutes/congress/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/huddle/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2022/02/10/the-stablecoin-that-launched-a-thousand-regs-00007636
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/write-for-us
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/article/2022/02/sec-to-loosen-whistleblower-award-limits-00007855
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/cdn-cgi/l/email-protection#caa1aeabbca3aeb9a5a48abaa5a6a3bea3a9a5e4a9a5a7
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tipsheets/morning-money?tab=most-read
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/cannabis
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2022/02/07/marty-gruenberg-takes-the-wheel-00006089
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/manifest.json
https://www.politico.com/tipsheets/morning-money	http://api.addthis.com/oexchange/0.8/forward/facebook/offer?pco=tbx32nj-1.0&amp;url=https://politi.co/3BekOuK&amp;pubid=politico.com
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/c73c7f7/2147483647/legacy_thumbnail/57x57/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/android-chrome-192x192.png
https://www.politico.com/tipsheets/morning-money	https://policies.google.com/terms
https://www.politico.com/tipsheets/morning-money	https://www.politico.com//_login?base=https%3A%2F%2Fwww.politico.com&amp;redirect=%2F_login&amp;logout=%2F_logout&amp;lRedirect=true&amp;sRedirect=%2Fsettings&amp;js=false
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tipsheets/morning-money
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-76x76.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/rss
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/27ede68/2147483647/legacy_thumbnail/72x72/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/advertising
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/press/about
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/59ee5a3/2147483647/legacy_thumbnail/114x114/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
